,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
"('000_(0.0, 0.0)', '001_(0.0, 10.0]')",0.8468676090240479,0.764094352722168,0.8142212020000467,,,,,,,,,,,,,,,,,,,,,,5.0
"('000_(0.0, 0.0)', '002_(10.0, 20.0]')",0.6745271682739258,0.6745271682739258,0.3734797462196483,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0
"('000_(0.0, 0.0)', '003_(20.0, 30.0]')",0.7859025001525879,0.7859025001525879,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0
"('001_(0.0, 10.0]', '000_(0.0, 0.0)')",0.502997080485026,0.32634568214416504,0.4398993145763641,,,,,,,,,,,,,,,,,,,,,,6.0
"('001_(0.0, 10.0]', '001_(0.0, 10.0]')",0.5539028565088908,0.4583115577697754,0.3932267032001442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
"('001_(0.0, 10.0]', '002_(10.0, 20.0]')",0.25872159004211426,0.2390131950378418,0.2563315673626186,,,,,,,,,,,,,,,,,,,,,,3.0
"('002_(10.0, 20.0]', '000_(0.0, 0.0)')",0.5994178195553888,0.4347352981567383,0.5338802179846145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.06154574548966637,0.007575757575757576,0.0,0.06154574548966637,0.015151515151515152,0.0,0.08636670341750609,0.08522727272727273,0.0,0.2757300521082095,269.0
"('002_(10.0, 20.0]', '001_(0.0, 10.0]')",0.7129013656074079,0.6404489278793335,0.5748240379091567,0.03225806451612903,0.0,0.12486551905735373,0.041029994340690434,0.0,0.1910921369106059,0.05715902659875495,0.0,0.2164951946126343,0.05715902659875495,0.0,0.2164951946126343,0.05715902659875495,0.0,0.2164951946126343,0.05715902659875495,0.0,0.2164951946126343,0.09960384833050367,0.0,0.29924509851697223,203.0
"('002_(10.0, 20.0]', '002_(10.0, 20.0]')",0.7658328592777253,0.7417136132717133,0.5770457655054809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5773502691896258,10.5
"('002_(10.0, 20.0]', '003_(20.0, 30.0]')",0.4054374694824219,0.4054374694824219,,,,,,,,,,,,,,,,,,,,,,,1.0
"('003_(20.0, 30.0]', '000_(0.0, 0.0)')",0.7496548288185917,0.6027332544326782,0.5982392123626659,0.0,0.0,0.0,0.011904761904761904,0.0,0.07715167498104596,0.023809523809523808,0.0,0.10777013435226059,0.047619047619047616,0.0,0.1485508785930873,0.07142857142857142,0.0,0.1770844008302866,0.09226190476190475,0.0,0.2791464734462523,0.10416666666666666,0.0,0.2906598077324218,148.5
"('003_(20.0, 30.0]', '001_(0.0, 10.0]')",0.7483176677125246,0.6775412559509277,0.6163242558237365,0.03076923076923077,0.0,0.12109278070331664,0.03734817813765182,0.0,0.1784467141709571,0.05273279352226721,0.0,0.20321015877715015,0.07469635627530365,0.0,0.24610922881459252,0.07469635627530365,0.0,0.24610922881459252,0.07469635627530365,0.0,0.24610922881459252,0.17682186234817815,0.0,0.36699426134132285,241.5
"('003_(20.0, 30.0]', '002_(10.0, 20.0]')",0.8058582374027797,0.6681259870529175,0.6483917509525166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2886751345948129,12.5
"('003_(20.0, 30.0]', '003_(20.0, 30.0]')",2.575608253479004,2.575608253479004,,,,,,,,,,,,,,,,,,,,,,,1.0
"('004_(30.0, 40.0]', '000_(0.0, 0.0)')",0.842849237086378,0.6764488816261292,0.6310503209521399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.1336306209562122,0.03571428571428571,0.0,0.1336306209562122,0.03571428571428571,0.0,0.1336306209562122,0.03571428571428571,0.0,0.1336306209562122,140.5
"('004_(30.0, 40.0]', '001_(0.0, 10.0]')",0.7614736833159075,0.6512584686279297,0.5593253369118689,0.017241379310344827,0.0,0.09284766908852593,0.017241379310344827,0.0,0.09284766908852593,0.04876847290640394,0.0,0.21345578286163353,0.06305418719211822,0.0,0.24669241137718328,0.06305418719211822,0.0,0.24669241137718328,0.07733990147783251,0.0,0.2709546778881271,0.16896551724137931,0.0,0.3783854640642561,151.0
"('004_(30.0, 40.0]', '002_(10.0, 20.0]')",0.7188149094581604,0.616729736328125,0.4914846123544108,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,6.0
"('005_(40.0, 50.0]', '000_(0.0, 0.0)')",0.7466090176619735,0.5296008586883545,0.5852267391767483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.37796447300922725,33.0
"('005_(40.0, 50.0]', '001_(0.0, 10.0]')",0.7935808698336284,0.5525999665260315,0.7076930144485125,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,27.5
"('005_(40.0, 50.0]', '002_(10.0, 20.0]')",0.4112313588460286,0.19722342491149902,0.5348982329960936,,,,,,,,,,,,,,,,,,,,,,3.0
"('006_(50.0, inf]', '000_(0.0, 0.0)')",0.7562172954587882,0.5803982615470886,0.632928441928061,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0721607015854438,0.015789473684210527,0.0,0.08790201202364573,0.027997076023391812,0.0,0.15987292534605663,0.0402046783625731,0.0,0.19498514050582894,0.08757309941520466,0.0,0.26092105309959124,815.0
"('006_(50.0, inf]', '001_(0.0, 10.0]')",0.7408866929026975,0.565281331539154,0.6082763081444607,0.014534883720930232,0.0,0.08424632467030377,0.014534883720930232,0.0,0.08424632467030377,0.03840484769079594,0.0,0.1697083123002494,0.041311824434981985,0.0,0.17450852828764937,0.051261054700294795,0.0,0.2092778060010713,0.05830330822142156,0.0,0.22960276257305723,0.13421225024566003,0.0,0.33935443437202395,873.5
"('006_(50.0, inf]', '002_(10.0, 20.0]')",0.7879594593730748,0.5237851142883301,0.7033667442299368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.43898223650461365,44.0
"('006_(50.0, inf]', '003_(20.0, 30.0]')",0.5081674754619598,0.5208890438079834,0.3069267547472357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
