,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
"('000_(0.0, 0.0)', '001_(0.0, 10.0]')",1.1004569416954404,0.6086798906326294,1.1598140518385402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"('000_(0.0, 0.0)', '002_(10.0, 20.0]')",1.5754640102386475,1.5754640102386475,,,,,,,,,,,,,,,,,,,,,,,1.0
"('002_(10.0, 20.0]', '000_(0.0, 0.0)')",0.7257169314793177,0.5780735015869141,0.6337256057540059,0.0078125,0.0,0.0625,0.015625,0.0,0.0876840468015252,0.023689516129032258,0.0,0.15118411030162043,0.03150201612903226,0.0,0.1700210764058886,0.047379032258064516,0.0,0.21105103109355428,0.047379032258064516,0.0,0.21105103109355428,0.09501008064516128,0.0,0.29454432290556115,371.0
"('002_(10.0, 20.0]', '001_(0.0, 10.0]')",0.7081493927489946,0.5872238278388977,0.5213639851081573,0.025423728813559324,0.0,0.11078593888586105,0.0423728813559322,0.0,0.1404468114202183,0.05775749674054759,0.0,0.2274647140875165,0.07314211212516297,0.0,0.26153959212353495,0.08083441981747067,0.0,0.27471835030261194,0.11473272490221643,0.0,0.3155875927685401,0.21016949152542375,0.0,0.4105729545667879,295.0
"('002_(10.0, 20.0]', '002_(10.0, 20.0]')",0.953196918964386,0.9450142979621887,0.5722358681306564,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,6.5
"('002_(10.0, 20.0]', '003_(20.0, 30.0]')",0.22344422340393066,0.22344422340393066,,,,,,,,,,,,,,,,,,,,,,,1.0
"('003_(20.0, 30.0]', '000_(0.0, 0.0)')",0.7524532971144595,0.6472550630569458,0.5868415728434746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.14433756729740646,0.041666666666666664,0.0,0.14433756729740646,0.08333333333333333,0.0,0.19462473604038075,0.10606060606060605,0.0,0.2999782635111235,176.0
"('003_(20.0, 30.0]', '001_(0.0, 10.0]')",0.7704391180234216,0.6930428147315979,0.5826944352179473,0.01730496453900709,0.0,0.13066752266790982,0.04921985815602837,0.0,0.19876336334244726,0.059858156028368796,0.0,0.21356529108591532,0.059858156028368796,0.0,0.21356529108591532,0.07319148936170213,0.0,0.2544696565501671,0.07985815602836879,0.0,0.26893549301510455,0.12113475177304964,0.0,0.3263662537358482,253.0
"('003_(20.0, 30.0]', '002_(10.0, 20.0]')",0.6232078117983681,0.4653911590576172,0.5444913359933107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"('004_(30.0, 40.0]', '000_(0.0, 0.0)')",0.7837066229346187,0.6175904870033264,0.5926510054770014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.14116492564331998,67.0
"('004_(30.0, 40.0]', '001_(0.0, 10.0]')",0.8294377913073452,0.7397953271865845,0.6135581847984612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.1318258274409374,141.5
"('004_(30.0, 40.0]', '002_(10.0, 20.0]')",1.2741090655326843,1.2601962685585022,0.29377969270071846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
"('005_(40.0, 50.0]', '000_(0.0, 0.0)')",0.8176432064601353,0.5308036804199219,0.7079351630760176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
"('005_(40.0, 50.0]', '001_(0.0, 10.0]')",0.45171799867049506,0.3607596158981323,0.6481998103815065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,12.0
"('006_(50.0, inf]', '000_(0.0, 0.0)')",0.7971828821085607,0.6047891974449158,0.691497059109623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013471971066907775,0.0,0.11601582551302089,0.02061482820976492,0.0,0.1401551547217659,0.02775768535262206,0.0,0.1582530553712022,0.122875226039783,0.0,0.3262777427960439,727.5
"('006_(50.0, inf]', '001_(0.0, 10.0]')",0.7496669970180123,0.5912704467773438,0.6186719327110074,0.03207821590174531,0.0,0.1691113679697761,0.04949095022624435,0.0,0.20731115332322875,0.06787330316742082,0.0,0.25168420688021403,0.08164996767937945,0.0,0.27471040422788684,0.09267937944408533,0.0,0.2903819655507044,0.09817388493859082,0.0,0.2984047940169344,0.19998383968972205,0.0,0.4011237625676667,883.5
"('006_(50.0, inf]', '002_(10.0, 20.0]')",0.7168912220568884,0.5431185364723206,0.654912383415915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5
"('006_(50.0, inf]', '003_(20.0, 30.0]')",1.4978265762329102,1.4978265762329102,0.3920307658854153,,,,,,,,,,,,,,,,,,,,,,2.0
"('006_(50.0, inf]', '004_(30.0, 40.0]')",0.716423511505127,0.716423511505127,,,,,,,,,,,,,,,,,,,,,,,1.0
