,abs_error,abs_error,abs_error,hit_top_5,hit_top_5,hit_top_5,hit_top_10,hit_top_10,hit_top_10,hit_top_20,hit_top_20,hit_top_20,hit_top_30,hit_top_30,hit_top_30,hit_top_40,hit_top_40,hit_top_40,hit_top_50,hit_top_50,hit_top_50,hit_top_100,hit_top_100,hit_top_100,n_sample
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,sum
"('000_(0.0, 0.0)', '001_(0.0, 10.0]')",1.162337815342934,1.1367790565017928,0.7426977701988661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2886751345948129,7.5
"('000_(0.0, 0.0)', '002_(10.0, 20.0]')",0.5982692914834851,0.5982692914834851,,,,,,,,,,,,,,,,,,,,,,,1.0
"('002_(10.0, 20.0]', '000_(0.0, 0.0)')",0.6352795992461336,0.520864231922971,0.5297193259839594,0.0,0.0,0.0,0.0,0.0,0.0,0.020842379504993486,0.0,0.14436106717751868,0.04168475900998697,0.0,0.20197232839516238,0.06252713851498046,0.0,0.2446591594855339,0.09357359965262702,0.0,0.29394777188378385,0.135258358662614,0.0,0.3454357698857562,267.0
"('002_(10.0, 20.0]', '001_(0.0, 10.0]')",0.6822924534936853,0.6048064426598005,0.5281082649894007,0.06066176470588235,0.0,0.24083328388671235,0.09313725490196079,0.0,0.29272580253338465,0.13909313725490197,0.0,0.34903378965344056,0.17892156862745096,0.0,0.386386579755013,0.2144607843137255,0.0,0.4140701353754481,0.2426470588235294,0.0,0.4324656470847873,0.34620098039215685,0.0,0.4799738751312085,247.5
"('002_(10.0, 20.0]', '002_(10.0, 20.0]')",0.4263844076936891,0.35999703379720405,0.29606118286617816,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,5.5
"('003_(20.0, 30.0]', '000_(0.0, 0.0)')",0.8005356618926049,0.6601970624048399,0.6079076630675242,0.0,0.0,0.0,0.022727272727272728,0.0,0.10660035817780522,0.030663780663780664,0.0,0.1695944370126764,0.0386002886002886,0.0,0.19496607406345634,0.05447330447330447,0.0,0.22950262307910776,0.0772005772005772,0.0,0.27002473648542746,0.1533189033189033,0.0,0.35070546427403343,225.5
"('003_(20.0, 30.0]', '001_(0.0, 10.0]')",0.8028016180304189,0.6666748835184082,0.5672724591156917,0.03801305970149253,0.0,0.19257479986244308,0.11403917910447761,0.0,0.31986150220047627,0.1826026119402985,0.0,0.38926640682029756,0.24440298507462688,0.0,0.4347565461506313,0.2593283582089552,0.0,0.4432738628130644,0.26679104477611937,0.0,0.44703978077572926,0.35704291044776115,0.0,0.4780056424388816,246.5
"('003_(20.0, 30.0]', '002_(10.0, 20.0]')",0.8630146759567242,0.741285337573421,0.6304563639555261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
"('004_(30.0, 40.0]', '000_(0.0, 0.0)')",0.6945414410719397,0.5774550110056211,0.48528048683147607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.12909944487358055,0.06666666666666667,0.0,0.1759328876372492,0.06666666666666667,0.0,0.1759328876372492,0.16666666666666669,0.0,0.39953968538722817,56.5
